"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
187074,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
187075,4,,4,,88,,3,,84,,4,,84,,3,,85,,80,,380,,24,,
187077,4,,4,,91,,4,,90,,3,,73,,4,,92,,84,,187,,24,,
187080,4,,4,,92,,4,,89,,4,,85,,4,,87,,86,,360,,24,,
187084,4,,4,,90,,4,,89,,4,,82,,3,,86,,83,,769,,27,,
187085,3,,3,,87,,3,,85,,4,,82,,3,,85,,80,,278,,29,,
187087,5,,5,,95,,4,,91,,5,,89,,4,,90,,85,,281,,37,,
187090,4,,4,,88,,3,,86,,4,,81,,4,,86,,78,,301,,24,,
187091,4,,4,,92,,4,,89,,4,,84,,4,,89,,82,,738,,37,,
187093,4,,4,,92,,4,,88,,4,,83,,4,,90,,86,,277,,26,,
187095,3,,3,,89,,3,,90,,4,,87,,3,,86,,78,,261,,25,,
187096,5,,5,,93,,4,,92,,5,,90,,4,,89,,85,,102,,25,,
187099,5,,5,,94,,4,,92,,5,,89,,5,,92,,90,,1208,,32,,
187100,4,,4,,92,,4,,90,,5,,88,,4,,90,,86,,332,,26,,
187102,5,,5,,94,,5,,92,,5,,90,,4,,90,,86,,129,,36,,
187104,4,,4,,92,,4,,91,,4,,82,,4,,90,,85,,439,,29,,
187106,4,,3,,88,,5,,93,,4,,86,,4,,91,,82,,73,,28,,
187109,3,,3,,88,,3,,84,,4,,83,,2,,80,,76,,283,,25,,
187110,4,,4,,92,,4,,88,,3,,80,,3,,88,,80,,180,,29,,
187112,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
187113,4,,4,,89,,3,,87,,4,,81,,4,,88,,81,,311,,21,,
187117,4,,4,,90,,4,,88,,4,,84,,4,,90,,84,,181,,35,,
187119,4,,4,,91,,4,,89,,4,,86,,4,,89,,84,,309,,27,,
187124,3,,3,,88,,3,,86,,3,,76,,3,,86,,79,,227,,26,,
187127,4,11,4,11,93,11,3,11,87,11,3,11,77,11,4,11,93,11,90,11,47,11,31,11,11
187128,4,,4,,88,,4,,89,,4,,84,,3,,84,,80,,183,,29,,
187129,5,,5,,92,,5,,92,,4,,83,,5,,94,,83,,116,,22,,
187130,4,,4,,91,,4,,92,,5,,92,,4,,92,,87,,179,,31,,
187136,4,,5,,93,,4,,90,,5,,92,,3,,84,,86,,147,,31,,
187142,4,,4,,92,,4,,90,,4,,81,,4,,90,,88,,204,,23,,
187143,4,,4,,89,,3,,85,,4,,81,,3,,85,,79,,228,,25,,
187145,4,,4,,91,,4,,88,,5,,90,,4,,88,,85,,393,,29,,
187146,3,,4,,89,,2,,86,,3,,74,,2,,80,,70,,135,,18,,
187149,3,,3,,89,,3,,85,,4,,83,,3,,84,,79,,311,,28,,
187152,4,,4,,91,,3,,87,,4,,82,,3,,86,,81,,1112,,26,,
187159,5,,5,,94,,5,,93,,5,,94,,5,,91,,88,,175,,35,,
187160,5,,5,,96,,5,,94,,4,,87,,5,,94,,94,,120,,29,,
187161,4,,3,,88,,3,,86,,5,,89,,3,,84,,78,,127,,31,,
187163,4,,4,,90,,3,,84,,3,,80,,4,,88,,82,,302,,21,,
187168,4,,4,,91,,4,,90,,3,,78,,4,,85,,87,,140,,25,,
187169,4,,4,,91,,4,,89,,3,,74,,3,,89,,81,,107,,19,,
187171,4,,4,,91,,3,,89,,4,,85,,4,,88,,81,,186,,22,,
187172,5,,4,,91,,5,,93,,5,,92,,5,,91,,94,,84,,30,,
187174,3,,3,,88,,3,,87,,4,,81,,3,,83,,78,,259,,26,,
187176,4,,4,,91,,3,,88,,4,,85,,4,,89,,82,,143,,30,,
187178,4,,4,,92,,4,,89,,4,,86,,4,,89,,88,,403,,32,,
187179,4,,4,,90,,4,,91,,4,,84,,4,,86,,84,,178,,24,,
187181,4,,4,,91,,4,,90,,4,,84,,4,,92,,88,,155,,33,,
187182,4,,4,,90,,4,,90,,4,,84,,4,,86,,81,,182,,31,,
187183,5,,5,,95,,5,,92,,5,,89,,4,,92,,89,,215,,28,,
187184,5,,5,,95,,4,,91,,4,,87,,5,,91,,88,,143,,18,,
187185,Not Available,11,Not Available,11,95,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,96,11,93,11,29,11,19,11,11
187187,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
187188,Not Available,9,Not Available,9,48,9,Not Available,9,46,9,Not Available,9,68,9,Not Available,9,36,9,37,9,6,9,40,9,9
187300,5,,5,,94,,5,,93,,5,,89,,5,,93,,91,,185,,34,,
187301,4,11,4,11,91,11,4,11,91,11,4,11,82,11,4,11,89,11,82,11,57,11,35,11,11
187302,4,,4,,92,,3,,86,,4,,82,,4,,92,,83,,120,,17,,
187303,4,,3,,88,,4,,90,,4,,85,,3,,85,,75,,116,,26,,
187306,5,,5,,93,,4,,90,,5,,88,,5,,93,,89,,203,,23,,
197005,4,,4,,92,,3,,87,,4,,82,,5,,92,,85,,165,,26,,
197014,Not Available,11,Not Available,11,95,11,Not Available,11,96,11,Not Available,11,91,11,Not Available,11,88,11,86,11,38,11,23,11,11
197015,4,,4,,89,,3,,89,,5,,89,,4,,90,,80,,112,,18,,
197018,4,11,4,11,90,11,3,11,88,11,4,11,85,11,3,11,88,11,80,11,63,11,25,11,11
197019,4,,5,,92,,4,,89,,4,,86,,4,,94,,76,,127,,22,,
197020,3,11,2,11,85,11,3,11,89,11,3,11,80,11,2,11,85,11,79,11,45,11,15,11,11
197023,4,,3,,88,,3,,84,,4,,84,,4,,87,,77,,369,,23,,
197024,4,,5,,93,,4,,88,,3,,78,,4,,90,,84,,77,,25,,
197026,4,,4,,92,,4,,89,,5,,88,,4,,91,,86,,207,,25,,
197037,3,,4,,89,,3,,86,,3,,75,,3,,86,,79,,217,,25,,
197038,4,,4,,92,,4,,90,,4,,87,,4,,90,,87,,298,,25,,
197039,5,,5,,94,,5,,92,,5,,88,,5,,96,,90,,168,,31,,
197044,4,,4,,91,,4,,91,,5,,89,,4,,92,,84,,148,,22,,
197052,4,,4,,90,,3,,87,,4,,83,,4,,89,,86,,409,,24,,
197056,4,,5,,92,,3,,86,,4,,85,,4,,87,,84,,281,,39,,
197057,4,,4,,91,,4,,90,,5,,89,,4,,90,,86,,189,,27,,
197058,Not Available,11,Not Available,11,95,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,91,11,94,11,34,11,24,11,11
197060,4,,4,,92,,4,,92,,5,,89,,4,,90,,88,,449,,21,,
197062,4,,4,,90,,4,,88,,4,,87,,3,,86,,80,,205,,21,,
197063,4,,4,,92,,3,,89,,4,,84,,4,,88,,84,,82,,21,,
197074,4,,4,,89,,4,,87,,4,,83,,4,,89,,83,,127,,22,,
197084,5,,5,,95,,5,,92,,4,,86,,4,,90,,86,,113,,24,,
197086,5,,5,,94,,4,,89,,5,,91,,5,,97,,93,,84,,29,,
197089,5,,5,,94,,4,,93,,5,,89,,4,,92,,87,,141,,31,,
197091,4,,4,,91,,4,,89,,4,,84,,4,,90,,84,,173,,21,,
197095,Not Available,11,Not Available,11,68,11,Not Available,11,80,11,Not Available,11,77,11,Not Available,11,54,11,64,11,11,11,11,11,11
197097,3,,4,,90,,3,,86,,3,,79,,3,,86,,77,,535,,27,,
197099,5,,5,,93,,4,,91,,4,,86,,5,,92,,90,,72,,21,,
197102,5,,4,,92,,4,,91,,5,,90,,5,,93,,87,,177,,24,,
197104,4,,4,,89,,3,,88,,4,,83,,4,,85,,77,,293,,25,,
197113,5,11,5,11,95,11,5,11,94,11,5,11,95,11,4,11,82,11,84,11,52,11,26,11,11
197114,5,,5,,95,,5,,96,,5,,91,,5,,94,,91,,110,,27,,
197115,4,,4,,91,,3,,87,,4,,82,,3,,84,,82,,150,,20,,
197119,4,,4,,91,,4,,91,,5,,89,,4,,90,,84,,236,,24,,
197120,4,,4,,92,,4,,89,,4,,86,,4,,90,,86,,89,,28,,
197122,2,,2,,84,,2,,82,,3,,80,,1,,77,,65,,171,,14,,
197123,4,,4,,91,,3,,87,,4,,82,,4,,90,,79,,182,,20,,
197124,4,,4,,90,,3,,87,,4,,84,,4,,90,,80,,99,,16,,
197135,4,,4,,94,,4,,91,,5,,90,,4,,95,,90,,120,,29,,
197136,4,,5,,93,,4,,91,,4,,86,,4,,91,,87,,259,,24,,
197142,4,,4,,93,,4,,90,,4,,86,,3,,87,,83,,118,,22,,
197149,5,,5,,94,,4,,89,,5,,90,,5,,93,,82,,142,,19,,
197154,5,,5,,94,,5,,92,,5,,92,,5,,94,,90,,138,,32,,
197156,4,,4,,91,,3,,87,,4,,81,,3,,87,,83,,262,,25,,
197159,4,,4,,90,,4,,90,,5,,90,,4,,86,,80,,131,,27,,
197161,4,,4,,92,,4,,90,,4,,87,,3,,88,,86,,254,,25,,
197163,3,,3,,87,,3,,84,,4,,84,,3,,86,,77,,134,,19,,
197167,5,,5,,93,,4,,90,,5,,88,,4,,92,,86,,111,,27,,
197168,4,,4,,91,,4,,90,,5,,90,,4,,90,,87,,241,,27,,
197170,Not Available,11,Not Available,11,94,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,88,11,84,11,20,11,25,11,11
197178,5,,4,,91,,4,,91,,5,,90,,5,,92,,83,,147,,26,,
197179,4,,4,,90,,3,,88,,4,,81,,4,,88,,83,,617,,26,,
197183,5,,5,,93,,4,,91,,5,,94,,5,,91,,88,,119,,31,,
197187,5,,5,,95,,4,,91,,5,,91,,5,,94,,90,,301,,35,,
197192,4,,4,,90,,3,,86,,4,,86,,4,,89,,82,,327,,20,,
197193,5,,4,,91,,5,,91,,5,,88,,5,,91,,84,,75,,30,,
197194,Not Available,11,Not Available,11,88,11,Not Available,11,90,11,Not Available,11,80,11,Not Available,11,75,11,60,11,15,11,26,11,11
197195,3,,3,,87,,2,,82,,4,,82,,3,,86,,77,,424,,17,,
197197,4,,4,,91,,4,,88,,4,,87,,3,,84,,80,,70,,20,,
197199,5,,4,,93,,5,,94,,5,,89,,4,,92,,88,,166,,27,,
197200,5,,5,,93,,4,,90,,5,,88,,5,,90,,86,,129,,15,,
197203,3,,4,,89,,2,,84,,4,,82,,3,,85,,82,,460,,17,,
197204,Not Available,11,Not Available,11,97,11,Not Available,11,93,11,Not Available,11,90,11,Not Available,11,100,11,94,11,39,11,22,11,11
197206,5,11,5,11,95,11,5,11,96,11,5,11,94,11,5,11,98,11,97,11,63,11,31,11,11
197209,4,,4,,88,,4,,89,,3,,73,,4,,86,,77,,83,,15,,
197210,4,,4,,92,,3,,88,,4,,83,,4,,89,,86,,295,,28,,
197211,4,,5,,92,,4,,91,,4,,85,,4,,90,,81,,79,,30,,
197215,4,11,5,11,96,11,4,11,89,11,5,11,89,11,3,11,88,11,91,11,64,11,22,11,11
197222,4,,4,,90,,4,,91,,3,,80,,4,,86,,81,,76,,23,,
197226,4,,4,,89,,3,,89,,4,,84,,3,,85,,80,,212,,20,,
197231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197232,4,,4,,90,,3,,85,,5,,89,,3,,85,,76,,84,,15,,
197240,Not Available,9,Not Available,9,93,9,Not Available,9,90,9,Not Available,9,75,9,Not Available,9,59,9,92,9,5,9,38,9,9
197242,4,,3,,87,,4,,88,,4,,84,,3,,84,,76,,231,,24,,
197244,4,,4,,91,,3,,88,,5,,88,,4,,91,,84,,153,,20,,
197247,3,11,3,11,88,11,2,11,82,11,4,11,81,11,3,11,88,11,65,11,50,11,33,11,11
197252,4,,4,,92,,3,,87,,5,,89,,4,,85,,76,,89,,21,,
197253,4,,4,,90,,4,,87,,5,,91,,4,,90,,83,,97,,24,,
197258,4,11,4,11,91,11,3,11,89,11,4,11,83,11,3,11,79,11,78,11,68,11,20,11,11
197259,5,11,5,11,96,11,5,11,94,11,5,11,90,11,5,11,97,11,90,11,46,11,35,11,11
197260,5,,5,,95,,5,,92,,5,,93,,5,,94,,92,,120,,24,,
197263,4,,4,,91,,4,,91,,5,,88,,4,,88,,84,,286,,22,,
197265,3,,3,,89,,2,,81,,4,,81,,2,,78,,81,,72,,31,,
197272,4,,4,,90,,3,,90,,4,,85,,4,,89,,87,,121,,20,,
197274,5,,5,,94,,5,,93,,4,,83,,5,,96,,91,,130,,30,,
197276,3,,3,,88,,3,,84,,4,,84,,3,,84,,80,,287,,24,,
197278,4,,4,,92,,3,,90,,4,,83,,4,,91,,85,,87,,22,,
197294,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197295,5,11,5,11,93,11,4,11,92,11,5,11,92,11,4,11,87,11,92,11,62,11,38,11,11
197296,Not Available,11,Not Available,11,93,11,Not Available,11,90,11,Not Available,11,95,11,Not Available,11,97,11,95,11,28,11,15,11,11
197297,5,,5,,93,,4,,92,,5,,88,,5,,93,,91,,296,,25,,
197312,3,,3,,88,,3,,85,,4,,82,,3,,87,,79,,204,,19,,
197315,5,,5,,94,,5,,94,,4,,87,,4,,93,,87,,129,,22,,
197317,Not Available,11,Not Available,11,88,11,Not Available,11,85,11,Not Available,11,85,11,Not Available,11,90,11,74,11,38,11,19,11,11
197325,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197334,4,,5,,93,,4,,91,,4,,86,,4,,89,,86,,276,,25,,
197401,5,11,5,11,97,11,5,11,94,11,5,11,95,11,4,11,92,11,92,11,56,11,25,11,11
197402,4,,4,,93,,3,,86,,4,,87,,5,,96,,83,,72,,23,,
197403,4,,5,,95,,4,,92,,4,,84,,4,,95,,90,,109,,23,,
197413,4,,4,,91,,4,,89,,5,,90,,4,,91,,87,,119,,38,,
197417,4,11,4,11,92,11,4,11,90,11,4,11,84,11,3,11,87,11,84,11,69,11,16,11,11
197419,Not Available,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,87,11,Not Available,11,88,11,84,11,37,11,18,11,11
197425,4,,4,,92,,4,,89,,4,,82,,4,,90,,83,,298,,22,,
197426,4,,4,,90,,3,,86,,4,,83,,4,,85,,81,,135,,20,,
197437,4,,4,,91,,4,,88,,4,,87,,4,,89,,85,,266,,19,,
197440,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197443,4,11,5,11,95,11,3,11,89,11,5,11,92,11,4,11,94,11,89,11,62,11,20,11,11
197444,5,11,5,11,95,11,4,11,89,11,4,11,87,11,5,11,92,11,87,11,44,11,14,11,11
197446,3,,3,,90,,3,,84,,4,,81,,3,,83,,83,,218,,23,,
197447,5,,5,,94,,5,,93,,5,,89,,5,,94,,93,,83,,27,,
197451,Not Available,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,92,11,79,11,33,11,22,11,11
197453,4,,5,,93,,2,,83,,5,,88,,4,,92,,87,,128,,30,,
197454,4,,4,,91,,4,,89,,4,,82,,4,,87,,83,,114,,21,,
197455,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197456,Not Available,11,Not Available,11,74,11,Not Available,11,78,11,Not Available,11,69,11,Not Available,11,71,11,50,11,19,11,17,11,11
197458,5,,5,,95,,5,,93,,5,,89,,5,,94,,94,,241,,31,,
197461,2,11,2,11,83,11,1,11,75,11,3,11,79,11,1,11,77,11,61,11,58,11,21,11,11
197462,5,11,5,11,95,11,5,11,95,11,5,11,93,11,5,11,97,11,91,11,69,11,19,11,11
197470,4,11,4,11,92,11,5,11,93,11,5,11,88,11,3,11,81,11,85,11,49,11,21,11,11
197476,5,,5,,93,,4,,92,,5,,88,,5,,94,,88,,294,,30,,
197478,5,,5,,96,,4,,91,,4,,87,,5,,93,,91,,84,,27,,
197480,Not Available,11,Not Available,11,90,11,Not Available,11,70,11,Not Available,11,82,11,Not Available,11,75,11,96,11,13,11,13,11,11
197483,Not Available,9,Not Available,9,99,9,Not Available,9,98,9,Not Available,9,97,9,Not Available,9,97,9,98,9,1,9,13,9,9
197485,4,,4,,92,,4,,91,,4,,84,,4,,91,,91,,214,,37,,
197491,5,,5,,96,,5,,94,,5,,90,,5,,97,,93,,87,,24,,
197498,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197504,4,,4,,93,,4,,92,,4,,86,,4,,91,,85,,102,,23,,
197508,Not Available,9,Not Available,9,82,9,Not Available,9,94,9,Not Available,9,82,9,Not Available,9,58,9,81,9,7,9,12,9,9
197517,4,,4,,91,,4,,91,,5,,88,,4,,87,,85,,100,,22,,
197520,4,,5,,93,,3,,87,,3,,80,,4,,89,,83,,95,,37,,
197545,Not Available,11,Not Available,11,97,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,90,11,94,11,30,11,27,11,11
197549,3,,3,,89,,3,,86,,4,,84,,3,,85,,77,,131,,14,,
197550,4,,4,,92,,4,,92,,4,,87,,4,,88,,85,,110,,34,,
197555,3,11,2,11,87,11,3,11,87,11,4,11,86,11,4,11,84,11,75,11,63,11,17,11,11
197558,4,,4,,90,,3,,86,,3,,79,,4,,89,,82,,276,,22,,
197566,3,,3,,87,,3,,86,,4,,84,,2,,79,,67,,79,,18,,
197579,Not Available,11,Not Available,11,95,11,Not Available,11,86,11,Not Available,11,97,11,Not Available,11,77,11,79,11,14,11,21,11,11
197585,4,,3,,90,,5,,93,,4,,87,,4,,88,,77,,75,,31,,
197594,4,,4,,91,,3,,88,,4,,84,,4,,86,,83,,284,,21,,
197607,Not Available,11,Not Available,11,92,11,Not Available,11,87,11,Not Available,11,86,11,Not Available,11,91,11,99,11,16,11,30,11,11
197612,5,,5,,95,,5,,95,,5,,93,,5,,92,,95,,146,,31,,
197643,3,,3,,88,,3,,87,,4,,82,,2,,80,,78,,81,,21,,
197667,4,,4,,92,,3,,88,,5,,88,,4,,88,,87,,242,,31,,
197679,5,,5,,93,,5,,92,,5,,89,,4,,89,,90,,149,,24,,
197692,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197703,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197714,5,11,4,11,91,11,4,11,90,11,5,11,89,11,5,11,95,11,85,11,69,11,22,11,11
197718,4,,4,,92,,4,,91,,5,,88,,4,,92,,88,,222,,28,,
197727,5,,5,,95,,4,,89,,5,,91,,5,,91,,89,,91,,24,,
197729,Not Available,11,Not Available,11,86,11,Not Available,11,89,11,Not Available,11,96,11,Not Available,11,92,11,90,11,26,11,20,11,11
197742,4,,5,,93,,3,,86,,4,,87,,3,,85,,86,,147,,27,,
197748,5,11,5,11,97,11,5,11,96,11,5,11,94,11,5,11,95,11,91,11,57,11,28,11,11
197752,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197758,2,,2,,88,,1,,78,,3,,80,,2,,79,,74,,95,,25,,
197763,4,,4,,90,,3,,88,,4,,84,,3,,86,,80,,172,,19,,
197764,3,,3,,90,,2,,84,,3,,77,,3,,85,,79,,117,,19,,
197765,5,,4,,90,,5,,93,,5,,88,,4,,82,,78,,90,,17,,
197766,4,,5,,94,,4,,92,,4,,87,,4,,91,,85,,215,,28,,
197767,3,,3,,87,,3,,82,,3,,74,,3,,79,,72,,114,,25,,
197769,5,,5,,95,,5,,93,,5,,92,,5,,92,,91,,104,,35,,
197770,4,,4,,92,,3,,87,,3,,79,,4,,92,,81,,134,,31,,
197771,4,,4,,91,,3,,86,,4,,85,,4,,90,,84,,334,,26,,
197775,Not Available,11,Not Available,11,78,11,Not Available,11,65,11,Not Available,11,71,11,Not Available,11,62,11,63,11,27,11,25,11,11
197776,5,,5,,94,,5,,94,,5,,91,,5,,92,,85,,122,,30,,
197777,4,,4,,91,,4,,90,,5,,89,,4,,87,,88,,249,,24,,
197778,4,,4,,90,,4,,90,,5,,89,,4,,87,,86,,192,,20,,
197779,3,,2,,85,,3,,83,,4,,81,,2,,78,,68,,93,,26,,
197784,3,11,3,11,89,11,2,11,83,11,4,11,82,11,3,11,87,11,81,11,65,11,22,11,11
197785,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
197786,4,,4,,92,,3,,88,,4,,83,,3,,88,,77,,130,,19,,
197787,4,,4,,93,,4,,90,,5,,91,,4,,90,,89,,93,,19,,
197789,4,11,4,11,90,11,3,11,85,11,5,11,90,11,3,11,82,11,77,11,67,11,11,11,11
197790,3,,2,,86,,2,,82,,3,,80,,3,,83,,77,,157,,20,,
197791,5,,5,,94,,4,,89,,5,,91,,5,,96,,95,,90,,22,,
197792,5,,5,,93,,4,,92,,5,,90,,5,,93,,86,,234,,25,,
197793,Not Available,11,Not Available,11,94,11,Not Available,11,90,11,Not Available,11,98,11,Not Available,11,95,11,86,11,37,11,27,11,11
197795,4,11,4,11,91,11,3,11,88,11,3,11,75,11,4,11,88,11,75,11,58,11,16,11,11
197796,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,52,9,2,9,7,9,9
197797,5,11,5,11,94,11,4,11,92,11,5,11,93,11,4,11,91,11,86,11,50,11,32,11,11
207000,4,,4,,89,,3,,87,,4,,81,,4,,86,,83,,619,,32,,
207012,4,,4,,91,,4,,89,,4,,85,,4,,88,,91,,305,,33,,
207019,4,,4,,89,,3,,87,,4,,81,,4,,87,,89,,298,,29,,
207020,4,,4,,90,,3,,86,,4,,81,,4,,89,,81,,552,,28,,
207021,4,,4,,89,,3,,88,,4,,83,,4,,87,,83,,607,,32,,
207026,4,,4,,90,,3,,85,,3,,79,,4,,89,,83,,288,,34,,
207033,4,,4,,91,,4,,89,,4,,83,,4,,88,,84,,242,,33,,
207038,4,,4,,91,,4,,90,,4,,87,,4,,88,,87,,357,,32,,
207045,4,,4,,92,,4,,91,,4,,81,,4,,89,,89,,284,,32,,
207051,4,11,5,11,90,11,4,11,91,11,4,11,82,11,4,11,91,11,81,11,52,11,36,11,11
207054,4,10,4,10,91,10,4,10,91,10,4,10,85,10,4,10,91,10,86,10,107,10,43,10,10
207055,5,,5,,94,,5,,92,,4,,87,,5,,98,,92,,137,,39,,
207062,Not Available,11,Not Available,11,98,11,Not Available,11,89,11,Not Available,11,87,11,Not Available,11,99,11,86,11,19,11,27,11,11
207070,5,,5,,93,,4,,89,,5,,90,,5,,93,,92,,304,,37,,
207073,3,,3,,88,,3,,86,,3,,79,,3,,84,,78,,441,,27,,
207075,4,,4,,91,,4,,90,,3,,78,,4,,88,,84,,247,,30,,
207080,3,,3,,89,,4,,90,,3,,75,,3,,90,,79,,85,,30,,
207082,5,11,5,11,94,11,5,11,94,11,4,11,85,11,5,11,96,11,100,11,51,11,40,11,11
207083,Not Available,11,Not Available,11,98,11,Not Available,11,97,11,Not Available,11,92,11,Not Available,11,96,11,97,11,19,11,25,11,11
207084,4,11,5,11,93,11,3,11,83,11,4,11,84,11,4,11,90,11,87,11,51,11,25,11,11
217008,3,,3,,88,,3,,88,,4,,81,,3,,83,,76,,536,,22,,
217030,3,,2,,85,,2,,80,,3,,78,,3,,82,,73,,343,,23,,
217031,4,,4,,92,,4,,88,,5,,92,,4,,89,,88,,282,,28,,
217032,4,,4,,91,,3,,84,,4,,83,,3,,85,,79,,341,,21,,
217034,4,,5,,93,,3,,88,,4,,87,,4,,90,,84,,475,,32,,
217036,Not Available,11,Not Available,11,85,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,83,11,75,11,21,11,12,11,11
217040,3,,3,,87,,3,,85,,3,,80,,3,,85,,75,,605,,24,,
217045,4,,4,,92,,3,,88,,4,,84,,4,,90,,82,,338,,29,,
217047,1,,1,,75,,1,,69,,2,,65,,1,,65,,48,,300,,15,,
217048,3,,3,,87,,3,,86,,3,,78,,3,,84,,75,,401,,23,,
217058,3,,3,,86,,2,,80,,4,,83,,3,,79,,70,,201,,19,,
217066,4,,4,,89,,3,,88,,4,,83,,3,,84,,78,,695,,24,,
217068,3,,3,,88,,3,,85,,4,,83,,3,,84,,79,,639,,20,,
217071,3,,3,,87,,3,,83,,3,,78,,2,,79,,75,,662,,20,,
217072,3,,4,,90,,3,,84,,3,,80,,3,,83,,82,,309,,25,,
217079,4,,4,,91,,4,,89,,4,,85,,4,,88,,86,,293,,25,,
217081,4,,4,,93,,3,,88,,5,,88,,4,,90,,86,,499,,24,,
217084,4,,4,,92,,3,,87,,4,,87,,4,,89,,84,,375,,26,,
217085,4,,4,,90,,4,,89,,4,,81,,4,,88,,81,,212,,20,,
217094,4,,4,,90,,4,,86,,3,,79,,3,,86,,79,,201,,21,,
217101,4,,4,,90,,3,,88,,4,,82,,4,,89,,81,,315,,22,,
217107,4,,4,,90,,3,,86,,4,,84,,3,,87,,78,,307,,21,,
217108,3,,4,,89,,3,,88,,3,,80,,3,,82,,77,,331,,21,,
217111,4,,4,,91,,3,,88,,4,,82,,4,,89,,87,,334,,27,,
217115,4,,4,,89,,3,,88,,4,,83,,3,,84,,78,,567,,28,,
217120,1,11,1,11,76,11,1,11,70,11,1,11,60,11,1,11,78,11,64,11,65,11,16,11,11
217121,2,,2,,83,,1,,78,,3,,73,,1,,75,,68,,271,,25,,
217123,4,,4,,91,,4,,90,,4,,81,,4,,84,,78,,92,,19,,
217131,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
217134,1,,1,,78,,1,,75,,2,,71,,1,,63,,52,,398,,15,,
